A1,A2,sigma1,sigma2,mu1,mu2,A1_conf,A2_conf,sigma1_conf,sigma2_conf,mu1_conf,mu2_conf
0.495,1.5904,1.497,2.0105,-4.006,4.0145,0.0321,0.0277,0.1142,0.0413,0.1126,0.0405
0.5092,1.5898,1.4692,1.9909,-4.0158,3.9674,0.0335,0.0288,0.1135,0.0424,0.1121,0.0417
0.4851,1.5928,1.452,1.9863,-3.9913,4.0058,0.0336,0.0288,0.1179,0.0421,0.1166,0.0414
0.5116,1.6169,1.4267,1.9864,-4.0773,4.0217,0.0336,0.0285,0.1095,0.041,0.1085,0.0405
0.5076,1.5941,1.5781,1.9882,-4.0278,4.0214,0.0335,0.0299,0.1229,0.0441,0.1209,0.0431
0.5109,1.6202,1.5064,1.972,-3.9794,3.968,0.0323,0.0283,0.1121,0.0406,0.1105,0.0398
0.4945,1.5605,1.4783,2.0499,-4.0597,3.9892,0.0361,0.0308,0.1272,0.0476,0.1255,0.0467
0.4871,1.6074,1.5652,1.9737,-4.0283,3.9985,0.0331,0.0296,0.1256,0.0429,0.1237,0.042
0.5098,1.5952,1.5076,1.9964,-4.0549,4.0005,0.0331,0.0288,0.1152,0.0425,0.1137,0.0417
0.5238,1.613,1.4141,1.9801,-4.0738,3.9952,0.0365,0.0309,0.1151,0.0443,0.1141,0.0438
0.5093,1.6066,1.4339,1.9904,-3.9454,4.0164,0.033,0.0281,0.1089,0.0408,0.1077,0.0402
0.5063,1.6304,1.4848,1.9923,-4.0548,3.9908,0.0334,0.0289,0.1149,0.0415,0.1135,0.0408
0.5073,1.5923,1.5504,2.004,-3.9478,3.9973,0.0321,0.0283,0.1164,0.0423,0.1143,0.0413
0.498,1.5912,1.4754,2.008,-4.0687,3.9784,0.0353,0.0303,0.1229,0.045,0.1214,0.0442
0.5201,1.5844,1.3682,1.9977,-3.9923,3.945,0.0359,0.0298,0.1106,0.044,0.1096,0.0434
0.4977,1.5852,1.4752,1.9902,-4.0319,3.962,0.0356,0.0307,0.1238,0.0453,0.1223,0.0445
